day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-04-12.10,4.0,u10,2013-04-12,2013-04-12,24.0,24.0,3.3708333333333336,0.0
2013-04-12.11,1.0,u10,2013-04-12,2013-04-12,24.0,24.0,3.3708333333333336,0.0
2013-04-13.6,1.0,u10,2013-04-13,2013-04-13,24.0,24.0,1.3480555555555556,0.0
2013-04-17.9,2.0,u10,2013-04-17,2013-04-17,24.0,24.0,4.509444444444444,1.0
2013-04-17.10,1.0,u10,2013-04-17,2013-04-17,24.0,24.0,4.509444444444444,1.0
2013-04-16.8,1.0,u10,2013-04-16,2013-04-16,24.0,24.0,7.841944444444445,1.0
2013-04-15.9,1.0,u10,2013-04-15,2013-04-15,24.0,24.0,5.661111111111111,1.0
2013-04-15.10,2.0,u10,2013-04-15,2013-04-15,24.0,24.0,5.661111111111111,1.0
2013-04-18.8,4.0,u10,2013-04-18,2013-04-18,24.0,24.0,4.629722222222222,0.0
2013-04-18.9,1.0,u10,2013-04-18,2013-04-18,24.0,24.0,4.629722222222222,0.0
2013-04-21,4.0,u10,2013-04-21,2013-04-21,24.0,24.0,2.7816666666666667,0.0
2013-04-23.3,4.0,u10,2013-04-23,2013-04-23,24.0,24.0,5.783888888888889,0.0
2013-04-23.4,1.0,u10,2013-04-23,2013-04-23,24.0,24.0,5.783888888888889,0.0
2013-04-23.5,2.0,u10,2013-04-23,2013-04-23,24.0,24.0,5.783888888888889,0.0
2013-04-22.4,4.0,u10,2013-04-22,2013-04-22,24.0,24.0,4.428611111111112,1.0
2013-04-27,4.0,u10,2013-04-27,2013-04-27,24.0,24.0,2.348888888888889,0.0
2013-04-26.1,1.0,u10,2013-04-26,2013-04-26,24.0,24.0,8.100555555555555,0.0
2013-04-26.2,2.0,u10,2013-04-26,2013-04-26,24.0,24.0,8.100555555555555,0.0
2013-04-29.5,3.0,u10,2013-04-29,2013-04-29,24.0,24.0,4.5633333333333335,0.0
2013-04-29.6,4.0,u10,2013-04-29,2013-04-29,24.0,24.0,4.5633333333333335,0.0
2013-04-30.3,1.0,u10,2013-04-30,2013-04-30,24.0,24.0,3.2802777777777776,2.0
2013-04-30.4,4.0,u10,2013-04-30,2013-04-30,24.0,24.0,3.2802777777777776,2.0
2013-05-02.2,1.0,u10,2013-05-02,2013-05-02,24.0,24.0,5.442777777777778,0.0
2013-05-08.1,1.0,u10,2013-05-08,2013-05-08,24.0,24.0,6.64638888888889,1.0
2013-05-07.2,1.0,u10,2013-05-07,2013-05-07,24.0,24.0,4.958055555555555,2.0
2013-05-03.5,1.0,u10,2013-05-03,2013-05-03,24.0,24.0,4.889166666666666,0.0
2013-03-30.9,1.0,u08,2013-03-30,2013-03-30,27.0,31.0,4.723055555555556,0.0
2013-03-27.6,2.0,u08,2013-03-27,2013-03-27,26.0,49.0,4.340277777777778,0.0
2013-03-27.6,2.0,u08,2013-03-27,2013-03-27,26.0,49.0,4.340277777777778,0.0
2013-03-27.7,1.0,u08,2013-03-27,2013-03-27,26.0,49.0,4.340277777777778,0.0
2013-03-27.7,1.0,u08,2013-03-27,2013-03-27,26.0,49.0,4.340277777777778,0.0
